ID,Judul,Nama Pengarang,Tahun Terbit,Genre
1,Jomblo: Sebuah Komedi Cinta,Adhitya Mulya,2005,Komedi
104,The Intelligent Investor,Benjamin Graham,1949,BARU
103,The Psychology of Money,Morgan Housel,2021,BARU
102,Rich Dad's Increase Your Financial IQ: Get Smarter with Your Money,Robert T Kiyosaki,2008,BARU
102,Dunia Sophie,Jostein Gaarder,1991,BARU
101,It ends with us,Collen Hoover,2016,BARU
101,Dunia Sophie,Jostein Gaarder,1991,BARU
101,Dunia Sophie,Jostein Gaarder,1991,BARU
102,Naruto: Shippuden,Masashi Kishimoto,1999,BARU
102,Naruto: Shippuden,Masashi Kishimoto,2000,BARU
101,Dunia Sophie,Jostein Gaarder,1991,BARU
101,Naruto,Husen,2005,BARU
101,Naruto,Husen,2005,BARU
102,Kidding Kids,Progrytyon,2009,Romance
101,The Hole Of Mine,Husain,2009,Fiction
101,The Hole Of Mine,Husain,2009,Fiction
101,The Hole Of Mine,Husain,2009,Fiction
101,judul,husne,2010,Self-Development
101,naruto,masashi kishimoto,1999,Ilmiah (Sains dan Fiksi Ilmiah)
138,Pulau Mimpi ,Ade Sumarno,2009,Fiksi
136,Ketika Malam Memutih,Rizki Ananda,2018,Fiksi
136,Rintik Hujan di Matahari,Tiara Safitri,2012,Fiksi
136,Puzzle Waktu,Nanda Prasetya,2016,Fiksi
134,Langit Tak Bertepi,Agung Nugroho,2014,Fiksi
133,Kisah-kisah dari Negeri Ajaib,Citra Permadi,2017,Fiksi
133,Revolusi Bunga: Kisah Cinta di Tengah Pemberontakan,Putri Kartika,2020,Fiksi
132,Bisikan Hantu Kecil,Rendra Pratama,2011,Fiksi
14,Cupiderman 4G,S. Gegge Mappangewa,2020,Komedi
131,ayo putus,selatan,2020,Roman
